;superpower_Accuracy;superpower_Agility;superpower_Durability;superpower_Intelligence;superpower_Longevity;superpower_Reflexes;superpower_Stamina;superpower_Super_Strength;superpower_Telepathy;superpower_Underwater_breathing;superpower_Weapons_Master;superpower_Lantern_Power_Ring;superpower_Healing_Factor;superpower_Immortality;superpower_Regeneration;superpower_Energy_Absorption;superpower_Energy_Beams;superpower_Energy_Blasts;superpower_Power_Suit;superpower_Danger_Sense;superpower_Energy_Manipulation;superpower_Flight;superpower_Force_Fields;superpower_Hypnokinesis;superpower_Invisibility;superpower_Phasing;superpower_Super_Speed;superpower_Teleportation;superpower_Power_Augmentation;superpower_Gliding;superpower_Toxin_and_Disease_Resistance;superpower_Vision_-_Telescopic;superpower_Animal_Attributes;superpower_Animal_Oriented_Powers;superpower_Toxikinesis;superpower_Empathy;superpower_Size_Changing;superpower_Hydrokinesis;superpower_Endurance;superpower_Enhanced_Hearing;superpower_Enhanced_Senses;superpower_Sonar;superpower_Vision_-_Night;superpower_Wallcrawling;superpower_Energy_Armor;superpower_Psionic_Powers;superpower_Omnilingualism;superpower_Weapon-based_Powers;superpower_Invulnerability;superpower_Self-Sustenance;superpower_Duplication;superpower_Radiation_Immunity;superpower_Density_Control;superpower_Illumination;superpower_Molecular_Combustion;superpower_Molecular_Manipulation;superpower_Astral_Travel;superpower_Illusions;superpower_Intangibility;superpower_Magic;superpower_Precognition;superpower_Audiokinesis;superpower_Sonic_Scream;superpower_Human_physical_perfection;superpower_Stealth;superpower_Dexterity;superpower_Jump;superpower_Natural_Weapons;superpower_Natural_Armor;superpower_Shapeshifting;superpower_Sub-Mariner;superpower_Omnitrix;superpower_Cross-Dimensional_Awareness;superpower_Reality_Warping;superpower_Telekinesis;superpower_Time_Travel;superpower_Probability_Manipulation;superpower_Vision_-_Infrared;superpower_Electrokinesis;superpower_Enhanced_Memory;superpower_Enhanced_Smell;superpower_Cold_Resistance;superpower_Heat_Resistance;superpower_Symbiote_Costume;superpower_Technopath/Cyberpath;superpower_Vision_-_X-Ray;superpower_Astral_Projection;superpower_Mind_Blast;superpower_Mind_Control;superpower_Mind_Control_Resistance;superpower_Telepathy_Resistance;superpower_Vision_-_Thermal;superpower_Hyperkinesis;superpower_Spatial_Awareness;superpower_Clairvoyance;superpower_Magic_Resistance;superpower_Super_Breath;superpower_Terrakinesis;superpower_Cross-Dimensional_Travel;superpower_Power_Sense;superpower_Darkforce_Manipulation;superpower_Gravitokinesis;superpower_Aerokinesis;superpower_Geokinesis;superpower_Pyrokinesis;superpower_Energy_Resistance;superpower_Photokinesis;superpower_Echokinesis;superpower_Enhanced_Touch;superpower_Radar_Sense;superpower_Levitation;superpower_Possession;superpower_Vision_-_Microscopic;superpower_Banish;superpower_Timeframe_Control;superpower_Elasticity;superpower_Camouflage;superpower_Substance_Secretion;superpower_Fire_Resistance;superpower_Heat_Generation;superpower_Energy_Constructs;superpower_Projection;superpower_Grim_Reaping;superpower_Power_Absorption;superpower_Vision_-_Heat;superpower_Radiation_Absorption;superpower_Thermokinesis;superpower_Cryokinesis;superpower_Elemental_Transmogrification;superpower_Magnetokinesis;superpower_Chlorokinesis;superpower_Resurrection;superpower_Portal_Creation;superpower_Thirstokinesis;superpower_Power_Nullifier;superpower_Animation;superpower_Photographic_Reflexes;superpower_Atmokinesis;superpower_Nova_Force;superpower_Chronokinesis;superpower_Radiation_Control;superpower_Web_Creation;superpower_Power_Cosmic;superpower_Changing_Armor;superpower_Biokinesis;superpower_Seismic_Power;superpower_Qwardian_Power_Ring;superpower_Summoning;superpower_Adaptation;superpower_Electrical_Transport;superpower_Insanity;superpower_Anti-Gravity;superpower_Matter_Absorption;superpower_Psychokinesis;superpower_Omnipotence;superpower_Death_Touch;superpower_Intuitive_aptitude;superpower_Melting
superpower_Accuracy;68;18;5;8;7;10;13;7;5;4;14;1;5;2;1;3;3;5;2;2;2;4;4;1;3;2;6;4;1;0;1;4;1;0;0;2;1;1;4;3;4;0;4;1;0;0;0;11;2;0;3;2;0;0;0;0;0;0;0;1;0;0;0;12;7;1;1;0;0;3;0;0;1;0;0;1;1;0;0;2;5;0;0;0;0;1;0;0;0;1;3;3;1;1;0;0;1;0;0;0;0;0;0;0;2;1;0;1;1;2;1;0;1;0;0;0;3;0;0;1;2;0;0;1;1;0;0;1;0;3;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
superpower_Agility;18;194;39;13;17;50;64;71;13;3;14;2;34;8;1;8;4;19;2;7;8;23;9;2;3;3;53;10;2;1;8;7;8;14;1;3;4;1;11;6;22;0;10;16;0;4;0;15;9;0;3;0;2;0;0;5;0;1;2;4;1;1;1;8;9;4;11;15;2;13;1;0;1;0;4;1;4;2;1;3;6;3;3;3;2;2;1;1;2;2;7;3;0;0;0;0;2;0;0;0;0;1;0;1;4;1;0;1;1;2;3;1;2;0;0;1;8;2;0;1;3;0;0;3;3;0;0;2;0;2;0;0;0;0;0;0;0;2;1;0;0;3;0;1;1;0;0;0;0;0;1;0;1;0;0;0;0;0
superpower_Durability;5;39;294;23;29;48;76;136;15;9;1;2;48;14;4;20;10;32;10;6;9;55;15;4;3;6;80;8;1;2;14;19;6;11;2;3;9;3;22;14;21;1;9;10;0;4;1;20;28;12;2;3;3;2;1;11;0;4;3;6;1;1;2;0;2;1;23;14;9;15;1;0;2;0;8;5;0;4;2;4;2;9;9;5;4;10;3;2;4;3;4;6;0;0;1;3;9;0;2;0;1;5;0;3;5;0;1;0;0;0;1;2;9;0;1;2;8;4;4;0;2;0;1;1;9;2;3;5;1;4;1;2;2;0;0;1;0;1;1;1;2;4;2;0;0;1;1;0;1;0;4;1;0;0;0;0;0;0
superpower_Intelligence;8;13;23;126;14;9;26;34;12;2;8;1;14;5;1;9;7;11;2;2;5;23;7;8;3;5;22;8;2;0;3;8;1;1;0;1;8;1;8;12;10;0;2;1;0;3;4;7;18;6;2;0;1;0;0;4;0;2;2;5;0;0;0;4;4;1;7;1;1;2;0;0;3;1;4;2;0;2;2;3;3;1;0;0;1;7;1;2;3;1;4;1;0;0;4;3;8;0;2;1;0;0;0;1;1;1;0;1;1;1;1;1;8;0;0;1;1;0;1;0;1;0;0;1;7;0;0;2;0;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0
superpower_Longevity;7;17;29;14;98;14;34;38;9;3;4;1;22;8;3;9;3;11;3;1;2;22;10;4;2;1;25;10;2;0;10;5;0;2;0;1;3;1;7;6;10;0;1;1;0;2;1;5;15;7;5;1;0;0;0;3;0;2;1;8;0;0;1;1;2;0;6;2;1;8;0;0;3;0;4;3;0;1;2;1;4;3;0;0;0;5;2;0;0;2;1;1;0;0;1;1;5;0;3;0;0;1;0;1;2;0;0;0;0;1;3;1;5;1;0;0;3;1;0;1;2;0;1;1;5;1;0;2;0;1;0;0;1;0;0;0;0;2;0;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0
superpower_Reflexes;10;50;48;9;14;172;56;68;14;7;5;1;32;7;3;8;4;15;2;7;2;19;3;1;2;2;61;7;2;1;8;7;6;9;1;0;4;3;15;7;17;1;11;15;0;1;1;10;10;4;1;1;1;2;1;4;0;0;1;3;0;1;1;4;3;2;10;16;3;8;0;0;1;0;3;5;4;2;0;6;3;3;2;4;1;1;0;0;0;1;3;3;0;0;1;1;1;0;2;0;0;0;1;2;4;0;0;1;1;1;1;0;2;0;0;0;7;1;0;0;2;0;0;1;2;0;0;3;0;3;0;1;0;0;0;1;0;1;1;0;0;4;0;1;1;0;0;0;1;0;2;0;0;0;0;0;0;0
superpower_Stamina;13;64;76;26;34;56;272;119;15;4;12;2;57;15;3;15;7;25;3;8;10;47;12;6;4;5;86;17;3;1;17;15;7;12;2;1;6;1;19;18;28;0;9;14;0;5;1;21;35;9;5;1;3;0;0;8;2;3;4;13;2;1;1;4;9;3;19;15;8;16;0;0;3;0;6;2;2;4;1;5;7;6;7;4;4;9;2;1;4;3;3;2;0;0;2;4;11;1;3;0;1;2;0;2;5;0;0;1;1;2;3;3;10;0;0;0;8;3;2;1;3;0;1;2;10;2;0;2;1;2;1;1;2;0;0;1;0;2;1;0;1;4;2;0;1;0;1;1;1;0;3;0;1;0;0;0;0;0
superpower_Super_Strength;7;71;136;34;38;68;119;488;31;12;7;2;77;26;7;30;14;58;12;8;17;96;27;9;7;8;136;22;4;3;22;24;11;19;4;4;24;5;33;21;38;1;12;18;1;10;5;25;57;19;6;4;6;0;0;19;2;7;7;16;4;1;2;1;3;4;30;22;9;32;1;0;5;3;17;7;2;5;4;5;5;11;11;6;9;16;4;3;6;3;7;9;0;0;4;4;13;1;6;0;2;5;1;3;7;0;3;0;0;1;5;2;12;0;1;2;8;5;5;1;3;0;1;3;14;3;3;5;2;5;3;4;2;0;0;2;0;2;1;1;3;4;4;1;1;1;1;1;1;0;3;1;1;0;0;1;0;0
superpower_Telepathy;5;13;15;12;9;14;15;31;124;8;4;2;11;9;2;7;3;16;0;3;9;30;16;4;7;6;22;14;4;1;0;2;2;2;0;2;11;4;7;4;6;1;2;2;0;15;2;1;11;5;2;0;2;0;0;8;2;13;4;5;2;0;2;1;1;1;2;2;3;11;0;0;3;2;19;3;2;0;0;1;3;0;0;0;2;3;11;9;9;3;9;3;0;0;0;0;2;2;3;2;2;1;0;0;5;0;1;1;1;2;4;4;2;1;0;0;2;1;1;0;1;0;0;3;3;0;0;3;0;2;0;4;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
superpower_Underwater_breathing;4;3;9;2;3;7;4;12;8;28;1;2;4;1;0;2;2;3;2;0;0;5;2;1;3;2;7;1;1;0;1;3;0;0;1;1;1;4;4;2;2;1;4;0;0;0;0;3;2;0;1;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;1;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
